Lat,Lon,Cls,country_code,state,Alt,Alt_zone
43.38959,-70.43959,Dfb,US,Maine,11.0,1
43.62731,-68.432724,Dfb,US,Maine,0.0,1
37.476933,-76.02147,Cfa,US,Virginia,0.0,1
36.375305,-71.15213,Cfa,US,Maryland,0.0,1
41.72825,-82.737564,Dfa,US,Ohio,172.0,3
36.22041,-73.344444,Cfa,US,North Carolina,0.0,1
35.107635,-74.34262,Cfa,US,North Carolina,0.0,1
33.117878,-74.165344,Cfa,US,North Carolina,0.0,1
39.898266,-79.842705,Cfb,US,Pennsylvania,353.0,3
40.858418,-73.78193,Cfa,US,New York,0.0,1
44.228592,-75.943275,Dfb,US,New York,114.0,3
38.211227,-68.838936,Cfa,US,Massachusetts,0.0,1
39.73871,-70.56844,Cfa,US,Massachusetts,0.0,1
36.414448,-77.473656,Cfa,US,North Carolina,32.0,2
36.251526,-69.35025,Cfa,US,Massachusetts,0.0,1
40.74874,-68.86525,Cfa,US,Massachusetts,0.0,1
37.534286,-82.13181,Cfa,US,West Virginia,478.0,3
34.19312,-73.20411,Cfa,US,North Carolina,0.0,1
37.132576,-79.603935,Cfa,US,Virginia,295.0,3
41.35133,-82.54478,Dfa,US,Ohio,188.0,3
43.170803,-78.18341,Dfb,US,New York,198.0,3
41.325386,-85.10836,Dfa,US,Indiana,262.0,3
42.99029,-70.344826,Dfb,US,Maine,0.0,1
33.694386,-76.91105,Cfa,US,North Carolina,0.0,1
41.11237,-80.89516,Dfb,US,Ohio,332.0,3
40.601467,-82.16824,Dfb,US,Ohio,346.0,3
41.782,-68.578766,Cfa,US,Massachusetts,0.0,1
44.80293,-75.0743,Dfb,US,New York,82.0,2
36.255917,-70.679214,Cfa,US,New Jersey,0.0,1
32.235153,-77.6156,Cfa,US,North Carolina,0.0,1
36.583336,-80.29229,Cfa,US,Virginia,398.0,3
36.148834,-77.82684,Cfa,US,North Carolina,58.0,2
40.00156,-78.40735,Cfb,US,Pennsylvania,509.0,4
35.279503,-72.20045,Cfa,US,North Carolina,0.0,1
36.012608,-69.741615,Cfa,US,Massachusetts,0.0,1
46.592907,-67.94118,Dfb,US,Maine,188.0,3
39.485954,-84.09348,Cfa,US,Ohio,270.0,3
32.089714,-76.757324,Cfa,US,North Carolina,0.0,1
31.197147,-74.00171,Cfa,US,North Carolina,0.0,1
40.97366,-74.31285,Cfa,US,New Jersey,68.0,2
42.96832,-77.052765,Dfb,US,New York,151.0,3
39.126312,-75.64985,Cfa,US,Delaware,21.0,1
41.51537,-77.00785,Dfb,US,Pennsylvania,579.0,4
34.25567,-74.946335,Cfa,US,North Carolina,0.0,1
43.882595,-67.96602,Dfb,US,Maine,0.0,1
39.975887,-68.71377,Cfa,US,Massachusetts,0.0,1
42.57269,-68.73395,Dfb,US,Massachusetts,0.0,1
34.704975,-75.527824,Cfa,US,North Carolina,0.0,1
