,Lat,Lon,Cls,species,country_code,state,Alt,Alt_zone,presence
12313,42.05270385742188,-87.6715087890625,Dfa,9602,US,Illinois,183.0,3,1
12314,43.41472244262695,-71.91597747802734,Dfb,9602,US,New Hampshire,213.0,3,1
12315,39.05855178833008,-77.03697967529297,Cfa,9602,US,Maryland,109.0,3,1
12316,42.05247116088867,-71.12004852294922,Dfa,9602,US,Massachusetts,59.0,2,1
12317,39.504512786865234,-88.08566284179688,Dfa,9602,US,Illinois,200.0,3,1
12318,39.02602767944336,-77.0387954711914,Cfa,9602,US,Maryland,98.0,2,1
12319,39.82965469360352,-74.98833465576172,Cfa,9602,US,New Jersey,31.0,2,1
12320,42.47340774536133,-70.99625396728516,Cfa,9602,US,Massachusetts,36.0,2,1
12321,42.3415641784668,-71.03630828857422,Dfa,9602,US,Massachusetts,6.0,1,1
12322,33.184574127197266,-86.76721954345703,Cfa,9602,US,Alabama,172.0,3,1
12323,42.27568435668945,-71.0193862915039,Dfa,9602,US,Massachusetts,9.0,1,1
12324,41.187870025634766,-81.57981872558594,Dfa,9602,US,Ohio,220.0,3,1
12325,44.7471809387207,-93.01825714111328,Dfa,9602,US,Minnesota,248.0,3,1
12326,44.91788101196289,-93.23670196533205,Dfa,9602,US,Minnesota,246.0,3,1
12327,29.441425323486328,-95.96188354492188,Cfa,9602,US,Texas,33.0,2,1
12328,42.29438018798828,-71.13013458251953,Dfa,9602,US,Massachusetts,59.0,2,1
12329,41.16354751586914,-74.38629150390625,Dfa,9602,US,New Jersey,336.0,3,1
12330,30.312822341918945,-97.6984634399414,Cfa,9602,US,Texas,203.0,3,1
12331,28.35946655273437,-81.59178161621094,Cfa,9602,US,Florida,38.0,2,1
12332,27.246511459350582,-82.37920379638672,Cfa,9602,US,Florida,6.0,1,1
12333,40.77805709838867,-73.9700698852539,Cfa,9602,US,New York,34.0,2,1
12334,40.33998107910156,-75.17205047607422,Cfa,9602,US,Pennsylvania,108.0,3,1
12335,37.331912994384766,-80.45947265625,Cfa,9602,US,Virginia,908.0,4,1
12336,41.83761978149414,-88.09080505371094,Dfa,9602,US,Illinois,232.0,3,1
12337,42.70768356323242,-85.45850372314453,Dfb,9602,US,Michigan,220.0,3,1
12338,41.00745391845703,-95.88375854492188,Dfa,9602,US,Nebraska,316.0,3,1
12339,40.37570190429688,-78.77137756347656,Cfb,9602,US,Pennsylvania,504.0,4,1
12340,38.91625213623047,-76.97078704833984,Cfa,9602,US,Maryland,16.0,1,1
12341,44.32908630371094,-72.50296020507812,Dfb,9602,US,Vermont,317.0,3,1
